item_id,meeting_date,meeting_title,doc_type,doc_date,filename,text_url,pdf_url,release_date
23081,1983-07-12,"Meeting, July 12-13, 1983",beige_book,1983-07-01,fomc19830713beige19830701.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19830713beige19830701.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19830713beige19830701.pdf,1983-07-01
23082,1983-08-23,"Meeting, August 23, 1983",beige_book,1983-08-10,fomc19830823beige19830810.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19830823beige19830810.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19830823beige19830810.pdf,1983-08-10
23089,1983-10-04,"Meeting, October 4, 1983",beige_book,1983-09-20,fomc19831004beige19830920.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19831004beige19830920.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19831004beige19830920.pdf,1983-09-20
23091,1983-11-14,"Meeting, November 14-15, 1983",beige_book,1983-11-02,fomc19831115beige19831102.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19831115beige19831102.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19831115beige19831102.pdf,1983-11-02
23092,1983-12-19,"Meeting, December 19-20, 1983",beige_book,1983-12-06,fomc19831220beige19831206.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19831220beige19831206.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19831220beige19831206.pdf,1983-12-06
23338,1984-01-30,"Meeting, January 30-31, 1984",beige_book,1984-01-20,fomc19840131beige19840120.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19840131beige19840120.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19840131beige19840120.pdf,1984-01-20
23094,1984-03-26,"Meeting, March 26-27, 1984",beige_book,1984-03-13,fomc19840327beige19840313.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19840327beige19840313.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19840327beige19840313.pdf,1984-03-13
23095,1984-05-21,"Meeting, May 21-22, 1984",beige_book,1984-05-08,fomc19840522beige19840508.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19840522beige19840508.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19840522beige19840508.pdf,1984-05-08
23337,1984-07-16,"Meeting, July 16-17, 1984",beige_book,1984-06-25,fomc19840717beige19840625.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19840717beige19840625.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19840717beige19840625.pdf,1984-06-25
23342,1984-08-21,"Meeting, August 21, 1984",beige_book,1984-08-06,fomc19840821beige19840806.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19840821beige19840806.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19840821beige19840806.pdf,1984-08-06
23083,1984-10-02,"Meeting, October 2, 1984",beige_book,1984-09-16,fomc19841002beige19840916.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19841002beige19840916.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19841002beige19840916.pdf,1984-09-16
23097,1984-11-07,"Meeting, November 7, 1984",beige_book,1984-10-23,fomc19841107beige19841023.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19841107beige19841023.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19841107beige19841023.pdf,1984-10-23
23087,1984-12-17,"Meeting, December 17-18, 1984",beige_book,1984-12-05,fomc19841218beige19841205.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19841218beige19841205.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19841218beige19841205.pdf,1984-12-05
23099,1985-02-12,"Meeting, February 12-13, 1985",beige_book,1985-01-30,fomc19850213beige19850130.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19850213beige19850130.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19850213beige19850130.pdf,1985-01-30
23100,1985-03-26,"Meeting, March 26, 1985",beige_book,1985-03-12,fomc19850326beige19850312.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19850326beige19850312.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19850326beige19850312.pdf,1985-03-12
23101,1985-05-21,"Meeting, May 21, 1985",beige_book,1985-05-06,fomc19850521beige19850506.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19850521beige19850506.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19850521beige19850506.pdf,1985-05-06
23102,1985-07-09,"Meeting, July 9-10, 1985",beige_book,1985-06-25,fomc19850710beige19850625.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19850710beige19850625.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19850710beige19850625.pdf,1985-06-25
23336,1985-08-20,"Meeting, August 20, 1985",beige_book,1985-08-06,fomc19850820beige19850806.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19850820beige19850806.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19850820beige19850806.pdf,1985-08-06
23106,1985-10-01,"Meeting, October 1, 1985",beige_book,1985-09-16,fomc19851001beige19850916.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19851001beige19850916.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19851001beige19850916.pdf,1985-09-16
23339,1985-11-04,"Meeting, November 4-5, 1985",beige_book,1985-10-23,fomc19851105beige19851023.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19851105beige19851023.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19851105beige19851023.pdf,1985-10-23
23090,1985-12-16,"Meeting, December 16-17, 1985",beige_book,1985-12-05,fomc19851217beige19851205.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19851217beige19851205.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19851217beige19851205.pdf,1985-12-05
23096,1986-02-11,"Meeting, February 11-12, 1986",beige_book,1986-01-28,fomc19860212beige19860128.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19860212beige19860128.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19860212beige19860128.pdf,1986-01-28
23103,1986-04-01,"Meeting, April 1, 1986",beige_book,1986-03-20,fomc19860401beige19860320.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19860401beige19860320.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19860401beige19860320.pdf,1986-03-20
23105,1986-05-20,"Meeting, May 20, 1986",beige_book,1986-05-06,fomc19860520beige19860506.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19860520beige19860506.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19860520beige19860506.pdf,1986-05-06
22500,1986-07-08,"Meeting, July 8-9, 1986",beige_book,1986-06-24,fomc19860709beige19860624.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19860709beige19860624.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19860709beige19860624.pdf,1986-06-24
23107,1986-08-19,"Meeting, August 19, 1986",beige_book,1986-08-05,fomc19860819beige19860805.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19860819beige19860805.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19860819beige19860805.pdf,1986-08-05
22501,1986-09-23,"Meeting, September 23, 1986",beige_book,1986-09-10,fomc19860923beige19860910.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19860923beige19860910.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19860923beige19860910.pdf,1986-09-10
22502,1986-11-05,"Meeting, November 5, 1986",beige_book,1986-10-23,fomc19861105beige19861023.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19861105beige19861023.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19861105beige19861023.pdf,1986-10-23
22503,1986-12-15,"Meeting, December 15-16, 1986",beige_book,1986-12-01,fomc19861216beige19861201.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19861216beige19861201.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19861216beige19861201.pdf,1986-12-01
22504,1987-02-10,"Meeting, February 10-11, 1987",beige_book,1987-01-28,fomc19870211beige19870128.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19870211beige19870128.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19870211beige19870128.pdf,1987-01-28
22506,1987-03-31,"Meeting, March 31, 1987",beige_book,1987-03-16,fomc19870331beige19870316.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19870331beige19870316.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19870331beige19870316.pdf,1987-03-16
23112,1987-05-19,"Meeting, May 19, 1987",beige_book,1987-05-04,fomc19870519beige19870504.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19870519beige19870504.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19870519beige19870504.pdf,1987-05-04
23113,1987-07-07,"Meeting, July 7, 1987",beige_book,1987-06-23,fomc19870707beige19870623.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19870707beige19870623.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19870707beige19870623.pdf,1987-06-23
23114,1987-08-18,"Meeting, August 18, 1987",beige_book,1987-08-03,fomc19870818beige19870803.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19870818beige19870803.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19870818beige19870803.pdf,1987-08-03
23115,1987-09-22,"Meeting, September 22, 1987",beige_book,1987-09-08,fomc19870922beige19870908.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19870922beige19870908.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19870922beige19870908.pdf,1987-09-08
23116,1987-11-03,"Meeting, November 3, 1987",beige_book,1987-10-27,fomc19871103beige19871027.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19871103beige19871027.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19871103beige19871027.pdf,1987-10-27
23117,1987-12-15,"Meeting, December 15-16, 1987",beige_book,1987-12-01,fomc19871216beige19871201.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19871216beige19871201.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19871216beige19871201.pdf,1987-12-01
23118,1988-02-09,"Meeting, February 9-10, 1988",beige_book,1988-01-27,fomc19880210beige19880127.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19880210beige19880127.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19880210beige19880127.pdf,1988-01-27
23109,1988-03-29,"Meeting, March 29, 1988",beige_book,1988-03-15,fomc19880329beige19880315.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19880329beige19880315.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19880329beige19880315.pdf,1988-03-15
23110,1988-05-17,"Meeting, May 17, 1988",beige_book,1988-05-04,fomc19880517beige19880504.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19880517beige19880504.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19880517beige19880504.pdf,1988-05-04
23111,1988-06-29,"Meeting, June 29-30, 1988",beige_book,1988-06-15,fomc19880630beige19880615.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19880630beige19880615.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19880630beige19880615.pdf,1988-06-15
23119,1988-08-16,"Meeting, August 16, 1988",beige_book,1988-08-02,fomc19880816beige19880802.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19880816beige19880802.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19880816beige19880802.pdf,1988-08-02
23120,1988-09-20,"Meeting, September 20, 1988",beige_book,1988-09-06,fomc19880920beige19880906.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19880920beige19880906.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19880920beige19880906.pdf,1988-09-06
23123,1988-11-01,"Meeting, November 1, 1988",beige_book,1988-10-18,fomc19881101beige19881018.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19881101beige19881018.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19881101beige19881018.pdf,1988-10-18
23125,1988-12-13,"Meeting, December 13-14, 1988",beige_book,1988-11-30,fomc19881214beige19881130.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19881214beige19881130.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19881214beige19881130.pdf,1988-11-30
23126,1989-02-07,"Meeting, February 7-8, 1989",beige_book,1989-01-25,fomc19890208beige19890125.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19890208beige19890125.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19890208beige19890125.pdf,1989-01-25
23332,1989-03-28,"Meeting, March 28, 1989",beige_book,1989-03-15,fomc19890328beige19890315.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19890328beige19890315.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19890328beige19890315.pdf,1989-03-15
23122,1989-05-16,"Meeting, May 16, 1989",beige_book,1989-05-03,fomc19890516beige19890503.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19890516beige19890503.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19890516beige19890503.pdf,1989-05-03
23132,1989-07-05,"Meeting, July 5-6, 1989",beige_book,1989-06-21,fomc19890706beige19890621.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19890706beige19890621.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19890706beige19890621.pdf,1989-06-21
23134,1989-08-22,"Meeting, August 22, 1989",beige_book,1989-08-09,fomc19890822beige19890809.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19890822beige19890809.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19890822beige19890809.pdf,1989-08-09
23043,1989-10-03,"Meeting, October 3, 1989",beige_book,1989-09-20,fomc19891003beige19890920.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19891003beige19890920.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19891003beige19890920.pdf,1989-09-20
23138,1989-11-14,"Meeting, November 14, 1989",beige_book,1989-11-01,fomc19891114beige19891101.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19891114beige19891101.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19891114beige19891101.pdf,1989-11-01
23143,1989-12-18,"Meeting, December 18-19, 1989",beige_book,1989-12-06,fomc19891219beige19891206.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19891219beige19891206.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19891219beige19891206.pdf,1989-12-06
23144,1990-02-06,"Meeting, February 6-7, 1990",beige_book,1990-01-24,fomc19900207beige19900124.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19900207beige19900124.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19900207beige19900124.pdf,1990-01-24
23326,1990-03-27,"Meeting, March 27, 1990",beige_book,1990-03-14,fomc19900327beige19900314.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19900327beige19900314.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19900327beige19900314.pdf,1990-03-14
23146,1990-05-15,"Meeting, May 15, 1990",beige_book,1990-05-02,fomc19900515beige19900502.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19900515beige19900502.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19900515beige19900502.pdf,1990-05-02
23147,1990-07-02,"Meeting, July 2-3, 1990",beige_book,1990-06-20,fomc19900703beige19900620.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19900703beige19900620.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19900703beige19900620.pdf,1990-06-20
22572,1990-08-21,"Meeting, August 21, 1990",beige_book,1990-08-08,fomc19900821beige19900808.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19900821beige19900808.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19900821beige19900808.pdf,1990-08-08
23155,1990-10-02,"Meeting, October 2, 1990",beige_book,1990-09-19,fomc19901002beige19900919.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19901002beige19900919.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19901002beige19900919.pdf,1990-09-19
23156,1990-11-13,"Meeting, November 13, 1990",beige_book,1990-10-31,fomc19901113beige19901031.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19901113beige19901031.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19901113beige19901031.pdf,1990-10-31
22570,1990-12-18,"Meeting, December 18, 1990",beige_book,1990-12-05,fomc19901218beige19901205.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19901218beige19901205.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19901218beige19901205.pdf,1990-12-05
23160,1991-02-05,"Meeting, February 5-6, 1991",beige_book,1991-01-23,fomc19910206beige19910123.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19910206beige19910123.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19910206beige19910123.pdf,1991-01-23
23164,1991-03-26,"Meeting, March 26, 1991",beige_book,1991-03-13,fomc19910326beige19910313.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19910326beige19910313.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19910326beige19910313.pdf,1991-03-13
23167,1991-05-14,"Meeting, May 14, 1991",beige_book,1991-05-01,fomc19910514beige19910501.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19910514beige19910501.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19910514beige19910501.pdf,1991-05-01
23173,1991-07-02,"Meeting, July 2-3, 1991",beige_book,1991-06-19,fomc19910703beige19910619.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19910703beige19910619.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19910703beige19910619.pdf,1991-06-19
23331,1991-08-20,"Meeting, August 20, 1991",beige_book,1991-08-07,fomc19910820beige19910807.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19910820beige19910807.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19910820beige19910807.pdf,1991-08-07
23176,1991-10-01,"Meeting, October 1, 1991",beige_book,1991-09-18,fomc19911001beige19910918.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19911001beige19910918.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19911001beige19910918.pdf,1991-09-18
